state,protected_km2
Australian Capital Territory,1319.0364857310005
Western Australia,740122.4732932975
New South Wales,79315.22432578927
Victoria,48926.51508068541
Tasmania,19009.831943406214
South Australia,284876.0668754273
Northern Territory,336223.51191883633
Queensland,171673.75612111922
